zK_e8mCa5H0	AKB48	#Sukinanda[NLBP]
t-45WMPbpNs	AKB48	11gatsu no Anklet[NLBP]
H6DD-iYZAkg	AKB48	Aitakatta (VR)[NLBP]
2OB7y6S4hy8	AKB48	Aitakatta[NLBP]
kbSQ_XyOIRs	AKB48	Baby! Baby! Baby![NLBP]
HDn_EK7VRwQ	AKB48	Beginner[NLBP]
5gLSpFwl-dY	AKB48	Boku no YELL[NLBP]
BWXyDAXRY9o	AKB48	Bokutachi wa Tatakawanai[NLBP]
xM0VcWzaiGw	AKB48	Choose me ![NLBP]
E_NkDk49S9I	AKB48	Eien Pressure[NLBP]
AFkT9fFTWvc	AKB48	Enkyori Poster[NLBP]
vEVq_Bx7_KY	AKB48	Everyday, Katyusha[NLBP]
WdhMjzfg6-k	AKB48	Flying Get (Dancing Version)[NLBP]
XHdcW2axwMk	AKB48	Gingham Check[NLBP]
SuhiIItERLo	AKB48	GIVE ME FIVE ![NLBP]
8r7SGQ4c4fQ	AKB48	Green Flash[NLBP]
1zUFu-aUVW4	AKB48	Halloween Night[NLBP]
lkHlnWFnA0c	AKB48	Heavy Rotation[NLBP]
fj6iDHciEmA	AKB48	High Tension (Hyper)[NLBP]
IjFaR-qPr0M	AKB48	Ja-Ba-Ja[NLBP]
ZvNViwHjSa8	AKB48	Jiwaru DAYS[NLBP]
iyn5uirg2j8	AKB48	Juunen Zakura[NLBP]
fgESmgZ4ld8	AKB48	Kaze wa Fuiteiru[NLBP]
eWnLRboP6LI	AKB48	Kibouteki Refrain[NLBP]
JLeFZZaUeaQ	AKB48	Kimi no Hohoemi wo Yume ni Miru[NLBP]
PjgyH3lVI18	AKB48	Kimi no Kotoga Suki Dakara[NLBP]
Q2E7TLotcko	AKB48	Kimi wa Melody[NLBP]
dFf4AgBNR1E	AKB48	Koi suru Fortune Cookie[NLBP]
hfnCAjE8LsU	AKB48	Kuchibiru ni Be My Baby[NLBP]
tzdhDr4t84I	AKB48	Labrador Retriever[NLBP]
GRFwFjgDmus	AKB48	Lucky Seven[NLBP]
n24zp_wPC7E	AKB48	Mae shika mukanē[NLBP]
MBuJ5R2KBKo	AKB48	Manatsu no Sounds Good![NLBP]
qJ-Drv9tVjI	AKB48	Maybe[NLBP]
pKQlKygAMrg	AKB48	Namida surprise![NLBP]
yMb0BLDlOwo	AKB48	NO WAY MAN[NLBP]
8NzfdEyo7x4	AKB48	Nusumareta Kuchibiru[NLBP]
F32epua9VQs	AKB48	Oogoe Diamond[NLBP]
SwXtaahxjls	AKB48	Ponytail to Shushu[NLBP]
bQqLKCg-UgA	AKB48	RIVER[NLBP]
UCasRhwFlBo	AKB48	Sakura no hanabiratachi 2008 [NLN]
n9hNT5ezcnc	AKB48	Sakura No Ki Ni Narou[NLBP]
lhEK1mxOm-I	AKB48	Sakura no Shiori[NLBP]
-jQtbbeWro8	AKB48	Sayonara Crawl[NLBP]
sIgawh0g-PI	AKB48	Shoot Sign[NLBP]
eZ4jYWQh7tE	AKB48	So long ![NLBP]
7DwAwNNHaW8	AKB48	Teacher Teacher[NLBP]
bUCoMByWzI0	AKB48	Tobenai Agehachou[NLBP]
-7YJkt-4R1A	AKB48	Uekara Mariko[NLBP]
ti-uofokNvA	AKB48	Watashi Datte Idol! Short ver.〈Rino Sashihara〉[NLBP]
pizw3Wf8MHM	AKB48	Yasai Sisters[NLBP]
zdgemowocu8	BNK48	Aitakatta[NLBP]
iByxlVvWrww	BNK48	Kimi wa Melody[NLBP]
mfqJyKm20Z4	BNK48	Koisuru Fortune Cookie[NLBP]
IMx1ojx2fiE	BNK48	Shonichi[NLBP]
zEinLKXD9_w	French Kiss	Kakko warui I love you![NLBP]
NFPLNjxYaeM	French Kiss	Omoidasenai hana[NLBP]
aimBejqsgPY	Hinatazaka46	JOYFUL LOVE[NLBP]
5Ixs0tLmEo0	Hiragana Keyakizaka46	Happy Aura[NLBP]
7PP7B313OJk	Hiragana Keyakizaka46	Ima ni Miteiro[NLBP]
aI20JvHedIs	HKT48	12 Seconds[NLBP]
tSlJDGQKAMA	HKT48	74okubun no 1 no kimi e[NLBP]
HwN0VMFUeqU	HKT48	Gunyatto Magatta[NLBP]
6ScAjS1hmcI	HKT48	Hatsukoi Butterfly[NLBP]
4gMAun5RyZA	HKT48	Hayaokuri Calendar[NLBP]
zeNAMx0258w	HKT48	Hikaeme I love you ![NLBP]
wSRkRHPLykM	HKT48	Hitsuzenteki Koibito[NLBP]
I8UgKZQadS4	HKT48	Ishi[NLBP]
YkDyX5S37rE	HKT48	Kiss wa Matsushikanai no Deshouka?[NLBP]
y5jHsV7hCHY	HKT48	Melon Juice[NLBP]
CGXwRIcnrJo	HKT48	Saikou Kayo[NLBP]
4-gTfa2hO0o	HKT48	Sakura, Minna de Tabeta[NLBP]
BDBvkY4BWe0	HKT48	Sakuranbo wo Musuberuka?[NLBP]
-uNVmrDxPXM	HKT48	Sedikit Saja I Love You![NLTP]
SUjvUN0vztY	HKT48	Suki! Suki! Skip![NLBP]
orrJqofVbEI	HKT48	Tonari no Karewa Kakkoyoku Mieru[NLBP]
edRWNE0DIKg	HKT48	Watashi no furusato[NLTP]
-ubel_eLXxU	HKT48 feat. Kishidan	Shekarashika![NLBP]
zoOiWFT0dVE	Keyakizaka46	Ambivalent[NLBP]
Rk5_LDmb1jI	Keyakizaka46	Ambivalent[NLTP]
5b0qb4RoS8U	Keyakizaka46	Fukyouwaon[NLTP]
th20TixA_Ws	Keyakizaka46	Futari Saison[NLTP]
VF2nSitbit4	Keyakizaka46	Garasu Wo Ware![NLBP]
ylG74t_iPL8	Keyakizaka46	Hiraishin[NLBP]
DnrgxgB464U	Keyakizaka46	Kazenifukaretemo[NLBP]
5b9Z2uLiAWw	Keyakizaka46	Kitaishiteinaijibun[NLBP]
D2QEluvPRiE	Keyakizaka46	Kuroi Hitsuji[NLBP]
6o6Qr4bzQNg	Keyakizaka46	Kuroi Hitsuji[NLTP]
awGVuRoxrkw	Keyakizaka46	Sekainiwa Aishikanai[NLBP]
uxRi5CuOJx8	Keyakizaka46	Sekainiwa Aishikanai [NLBT]
uDaKPPmDSIE	Keyakizaka46	Silent Majority[NLBP]
w6ABMtg_nsU	Keyakizaka46	Silent Majority[NLTP]
HwM3sqaLpfI	MAEDA Atsuko	Ｆｌｏｗｅｒ[NLBP]
_YybtAuT4YE	NGT48	Haru wa Dokokara Kurunoka?[NLBP]
Ybu13gst7cs	NGT48	Nanikagairu[NLBP]
n-iXRXpfVTs	NGT48	Seisyun Dokei[NLBP]
h52EITY0YoU	NMB48	Boku datte nai chau yo[NLBP]
ZL4SiM3zfLo	NMB48	Boku wa inai[NLBP]
LCmrBvWhVpI	NMB48	Masaka Singapore[NLBP]
XjuHFHxwvGI	NMB48	Nagiichi[NLBP]
q4FwKFk658c	NMB48	Tokonoma seiza musume[NLBP]
gtIgVyd7TF8	NMB48	Which one[NLBP]
VUfMsIB6sJE	NMB48	Yokubomono[NLBP]
gTqm5fYEbVI	Nogizaka46	Atarashī sekai furu[NLBP]
rhTBOwEnK-Y	Nogizaka46	Girls' Rule[NLBP]
OtzRWcavPwg	Nogizaka46	Guruguru Curtain[NLBP]
0Fpr-eJYbvc	Nogizaka46	Hadashide Summer[NLTP]
uCcm3O-dUOM	Nogizaka46	Harujion ga Sakukoro[NLTP]
lZsl6NYZaj0	Nogizaka46	I Want To Go Home From Afar[NLTP]
Xfp3V3oqQfY	Nogizaka46	Ima, hanashitai dareka ga iru[NLTP]
n6AWrEnzzRc	Nogizaka46	Influencer[NLTP]
h9BGT9ozkqY	Nogizaka46	Inochi wa Utsukushii Kara[NLBP]
oAyK7IhFAV8	Nogizaka46	Itsuka Dekiru Kara Kyou Dekiru[NLTP]
auTe1lvqDkM	Nogizaka46	Jikochu de Ikou![NLTP]
ET9XF4OSo7E	Nogizaka46	Kyūshamen[NLTP]
2uR9a8nRYV8	Nogizaka46	Nandome no Aozora ka? (HTC Butterfly 2)[NLTP]
mZfMSWh58fk	Nogizaka46	Natsuno Free&Easy[NLBP]
Ggv1heiVrdM	Nogizaka46	Seifuku no Mannequin[NLBP]
f0wbnQw89J0	Nogizaka46	Synchronicity[NLBP]
uZfjrnhTT4U	SKE48	1!2!3!4! Yoroshiku![NLBP]
5vtPErasOAU	SKE48	Aozora Kataomoi[NLBP]
50tdxFws5x4	SKE48	Gomenne, SUMMER[SCALE 1.33][NLBP]
Onbgr-dNG-o	SKE48	Ikinari Punch Line[NLBP]
so2ELIW3p48	SKE48	Muishiki no Iro[NLBP]
8TGfJp1hNkA	SKE48	Tsuyoki Mono Yo[NLBP]
WfWU9KuifzM	SNH48	Ponytail to Shushu[NLBP]
asLJiYOf_No	STU48	Kaze o matsu[NLBP]
wTHJ_V96lFQ	STU48	Kurayami[NLBP]
JzHgwRlzZrc	STU48	Setouchi no koe[NLBP]
VP9IrR3Unno	STU48	Shukkō[NLBP]
3A8ReZ_punE	Keyakizaka46	Fukyouwaon[NLBP]
hFM5iFC4B5g	ASIAN KUNG-FU GENERATION	A Town In Blue[NLBP]
J_IsnEZcl4E	ASIAN KUNG-FU GENERATION	After Dark[NLBP]
ZOzfBbjSDKc	ASIAN KUNG-FU GENERATION	Atarashii Sekai[NLBP]
-Lgvvn7u34w	ASIAN KUNG-FU GENERATION	Bicycle Race[NLBP]
gBarcnW_tcQ	ASIAN KUNG-FU GENERATION	Black Out[NLBP]
LIz1rcHwUZk	ASIAN KUNG-FU GENERATION	Blood Circulator[NLBP]
x9nkiTeuYRo	ASIAN KUNG-FU GENERATION	Blue Train[NLBP 250]
oqw00bxN_4w	ASIAN KUNG-FU GENERATION	Boys & Girls[NLBP]
sOVvpT-t5O0	ASIAN KUNG-FU GENERATION	Caterpillar[NLBP]
TY4c5Pboq1I	ASIAN KUNG-FU GENERATION	Circus[NLBP]
mtdQA4b9bH8	ASIAN KUNG-FU GENERATION	Clicking My Heels To Love[NLBP]
OiVWX4MWjDU	ASIAN KUNG-FU GENERATION	Clock Work[NLBP]
d9AHhDhnTss	ASIAN KUNG-FU GENERATION	Dancing Girl[NLBP]
cs7SbkGxi98	ASIAN KUNG-FU GENERATION	Easter[NLBP]
EEYDyXe9K6o	ASIAN KUNG-FU GENERATION	Eternal Sunshine[NLBP]
S4jaM0tD5u8	ASIAN KUNG-FU GENERATION	Fujisawa Loser[NLBP]
c7P0aIcYmbY	ASIAN KUNG-FU GENERATION	Goodbye Soldier[NLBP]
nJ6A6GC_ki4	ASIAN KUNG-FU GENERATION	Haruka Kanata (Far And Beyond)[NLBP]
RhuxGeq4ycw	ASIAN KUNG-FU GENERATION	Hometown[NLBP]
0TWpmLskS6U	ASIAN KUNG-FU GENERATION	Kimitoiuhana -A Flower Named You-[NLBP]
KGM-BO0mklY	ASIAN KUNG-FU GENERATION	Kouya Wo Aruke[NLBP]
azbxuqzDBHU	ASIAN KUNG-FU GENERATION	Little Lennon[NLBP]
qw0mqFhL6sM	ASIAN KUNG-FU GENERATION	Living in the Now[NLBP]
F4l9qxtTbmM	ASIAN KUNG-FU GENERATION	Loop&Loop[NLBP]
-BF1PPQ7rHo	ASIAN KUNG-FU GENERATION	Love Song of New Century[NLBP]
kplNQAJpjx4	ASIAN KUNG-FU GENERATION	Maigo inu to Ame no beat[NLBP]
GSQk5QFYEZk	ASIAN KUNG-FU GENERATION	Marching Band[NLBP]
l97dEKz0XkM	ASIAN KUNG-FU GENERATION	Memories of the Ruins[NLBP]
I8SHPIf49mk	ASIAN KUNG-FU GENERATION	Mirainokakera -Piece of the Future-[NLBP 250]
2qMgVI_dSUI	ASIAN KUNG-FU GENERATION	Motor Pool[NLBP]
5bZ53Ynus1Y	ASIAN KUNG-FU GENERATION	Mustang[NLBP]
